age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons.price.idx,cons.conf.idx,nr.employed,y
53,technician,married,professional.course,,yes,no,cellular,aug,thu,8,999,0,nonexistent,93.444,-36.1,5228.1,0
34,admin.,married,university.degree,no,no,no,cellular,nov,mon,1,999,1,failure,94.767,-50.8,4963.6,0
29,admin.,single,university.degree,no,no,no,cellular,may,thu,1,3,3,success,93.876,-40.0,5008.7,1
46,technician,married,professional.course,no,no,yes,cellular,aug,tue,2,999,0,nonexistent,93.444,-36.1,5228.1,0
47,unemployed,divorced,basic.9y,no,no,no,cellular,apr,wed,2,999,0,nonexistent,93.075,-47.1,5099.1,0
54,unemployed,married,university.degree,no,yes,yes,cellular,jul,thu,2,999,0,nonexistent,92.469,-33.6,5076.2,0
51,blue-collar,married,basic.4y,no,yes,yes,telephone,dec,mon,1,999,0,nonexistent,92.756,-45.9,5176.3,0
58,retired,married,high.school,no,yes,no,cellular,aug,fri,10,999,0,nonexistent,93.444,-36.1,5228.1,0
47,admin.,married,basic.9y,no,yes,no,telephone,nov,fri,3,999,0,nonexistent,93.2,-42.0,5195.8,0
52,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,thu,2,999,0,nonexistent,94.465,-41.8,5228.1,1
44,technician,married,high.school,no,no,no,cellular,nov,tue,2,999,0,nonexistent,93.2,-42.0,5195.8,0
24,student,single,,no,yes,no,cellular,sep,wed,1,17,4,failure,94.199,-37.5,4963.6,0
50,management,divorced,university.degree,no,no,no,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,1
51,retired,married,basic.4y,,yes,yes,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
57,blue-collar,married,basic.9y,,no,yes,cellular,nov,fri,2,999,0,nonexistent,93.2,-42.0,5195.8,0
29,technician,single,university.degree,no,no,no,telephone,aug,fri,1,999,0,nonexistent,93.444,-36.1,5228.1,0
45,blue-collar,married,basic.4y,,no,no,telephone,may,mon,4,999,0,nonexistent,93.994,-36.4,5191.0,0
42,entrepreneur,married,basic.9y,,no,no,telephone,jun,thu,1,999,0,nonexistent,94.465,-41.8,5228.1,0
34,housemaid,married,high.school,,no,no,cellular,may,wed,2,999,1,failure,92.893,-46.2,5099.1,0
45,admin.,married,high.school,no,yes,no,telephone,may,thu,4,999,0,nonexistent,93.994,-36.4,5191.0,0
49,technician,single,university.degree,,yes,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
30,services,married,high.school,no,no,no,telephone,may,wed,5,999,0,nonexistent,93.994,-36.4,5191.0,0
54,blue-collar,married,basic.4y,no,yes,no,telephone,may,wed,5,999,0,nonexistent,93.994,-36.4,5191.0,0
46,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,0
32,admin.,single,high.school,no,yes,no,telephone,jul,fri,3,999,0,nonexistent,93.918,-42.7,5228.1,0
36,unemployed,single,university.degree,no,no,no,cellular,aug,fri,1,999,0,nonexistent,92.201,-31.4,5076.2,0
39,admin.,divorced,high.school,no,no,no,telephone,jun,tue,1,999,0,nonexistent,94.465,-41.8,5228.1,0
30,blue-collar,married,basic.9y,,no,no,telephone,may,wed,1,999,0,nonexistent,92.893,-46.2,5099.1,0
38,blue-collar,married,professional.course,no,yes,no,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
26,blue-collar,single,professional.course,,,,cellular,jul,tue,2,999,0,nonexistent,93.918,-42.7,5228.1,0
32,self-employed,single,university.degree,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,93.2,-42.0,5195.8,0
41,admin.,married,university.degree,no,no,no,cellular,aug,tue,2,999,0,nonexistent,93.444,-36.1,5228.1,1
29,technician,single,professional.course,no,yes,no,cellular,aug,thu,4,999,0,nonexistent,93.444,-36.1,5228.1,0
56,technician,married,professional.course,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,93.918,-42.7,5228.1,0
28,blue-collar,single,basic.9y,no,yes,no,cellular,may,wed,1,999,0,nonexistent,92.893,-46.2,5099.1,0
53,admin.,married,high.school,no,no,no,cellular,may,fri,2,999,0,nonexistent,92.893,-46.2,5099.1,0
39,blue-collar,married,basic.9y,,yes,no,telephone,jun,tue,2,999,0,nonexistent,94.465,-41.8,5228.1,0
23,management,single,university.degree,no,yes,no,cellular,jul,tue,2,999,0,nonexistent,93.918,-42.7,5228.1,0
34,technician,divorced,professional.course,no,no,no,cellular,apr,fri,1,999,0,nonexistent,93.075,-47.1,5099.1,0
41,admin.,single,high.school,no,no,no,cellular,may,mon,4,999,0,nonexistent,92.893,-46.2,5099.1,0
31,housemaid,married,university.degree,no,no,yes,telephone,jun,tue,3,999,0,nonexistent,94.465,-41.8,5228.1,0
52,admin.,married,basic.6y,no,yes,no,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
32,blue-collar,divorced,basic.9y,no,no,no,telephone,may,wed,3,999,0,nonexistent,93.994,-36.4,5191.0,0
26,retired,single,high.school,no,,,cellular,jun,wed,1,999,0,nonexistent,92.963,-40.8,5076.2,0
28,student,single,university.degree,no,yes,no,cellular,may,thu,2,999,0,nonexistent,92.893,-46.2,5099.1,0
51,blue-collar,married,professional.course,no,no,yes,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
31,admin.,married,high.school,no,no,no,telephone,jul,tue,5,999,0,nonexistent,93.918,-42.7,5228.1,0
31,management,married,university.degree,no,no,no,cellular,may,fri,1,999,1,failure,92.893,-46.2,5099.1,0
53,self-employed,married,basic.9y,no,yes,yes,cellular,aug,fri,7,999,0,nonexistent,93.444,-36.1,5228.1,1
29,blue-collar,single,basic.6y,no,yes,no,telephone,jun,thu,3,999,0,nonexistent,94.465,-41.8,5228.1,0
36,admin.,married,university.degree,no,yes,yes,cellular,jul,wed,2,999,0,nonexistent,93.918,-42.7,5228.1,0
41,housemaid,married,basic.4y,no,yes,no,telephone,aug,fri,1,999,0,nonexistent,93.444,-36.1,5228.1,0
35,technician,single,university.degree,no,no,no,cellular,jun,mon,1,999,0,nonexistent,94.055,-39.8,4991.6,0
52,management,divorced,university.degree,no,yes,no,cellular,nov,mon,1,999,1,failure,93.2,-42.0,5195.8,0
33,admin.,divorced,university.degree,no,yes,no,telephone,nov,thu,3,999,0,nonexistent,93.2,-42.0,5195.8,0
32,admin.,married,university.degree,no,yes,no,cellular,nov,wed,3,999,0,nonexistent,94.767,-50.8,4963.6,0
48,technician,married,professional.course,no,no,yes,telephone,oct,tue,2,999,0,nonexistent,92.431,-26.9,5017.5,0
30,admin.,married,university.degree,no,no,no,cellular,jul,wed,6,999,0,nonexistent,93.918,-42.7,5228.1,0
50,blue-collar,married,basic.4y,,no,no,telephone,may,fri,1,999,0,nonexistent,93.994,-36.4,5191.0,0
48,unemployed,married,professional.course,,yes,yes,telephone,nov,fri,2,999,0,nonexistent,93.2,-42.0,5195.8,0
54,admin.,divorced,university.degree,no,yes,yes,cellular,nov,tue,2,999,0,nonexistent,93.2,-42.0,5195.8,0
47,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,5,999,0,nonexistent,93.994,-36.4,5191.0,0
46,blue-collar,married,high.school,no,no,no,cellular,may,tue,1,999,1,failure,92.893,-46.2,5099.1,0
37,technician,single,university.degree,no,no,no,telephone,jun,wed,3,999,0,nonexistent,94.465,-41.8,5228.1,0
48,blue-collar,married,basic.4y,no,yes,no,telephone,jul,tue,1,999,0,nonexistent,93.918,-42.7,5228.1,0
29,admin.,single,professional.course,no,yes,no,cellular,may,tue,5,999,0,nonexistent,92.893,-46.2,5099.1,0
34,self-employed,single,high.school,no,yes,no,cellular,nov,tue,4,999,0,nonexistent,93.2,-42.0,5195.8,0
35,admin.,single,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
29,technician,single,professional.course,no,yes,no,telephone,aug,thu,2,999,0,nonexistent,93.444,-36.1,5228.1,0
38,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu,2,999,0,nonexistent,93.994,-36.4,5191.0,0
43,technician,single,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
45,unemployed,married,university.degree,no,yes,no,cellular,aug,mon,3,999,0,nonexistent,93.444,-36.1,5228.1,0
31,admin.,single,university.degree,,yes,no,cellular,may,fri,3,999,0,nonexistent,92.893,-46.2,5099.1,0
37,management,married,university.degree,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,93.444,-36.1,5228.1,0
36,services,single,professional.course,no,yes,no,cellular,may,wed,1,999,0,nonexistent,92.893,-46.2,5099.1,0
34,blue-collar,divorced,basic.4y,no,yes,no,cellular,apr,fri,1,999,1,failure,93.075,-47.1,5099.1,0
46,blue-collar,married,basic.6y,no,no,no,telephone,jun,fri,1,999,0,nonexistent,94.465,-41.8,5228.1,0
40,services,married,high.school,,no,no,telephone,may,mon,1,999,0,nonexistent,93.994,-36.4,5191.0,0
55,blue-collar,married,basic.4y,,no,no,telephone,jun,mon,3,999,0,nonexistent,94.465,-41.8,5228.1,0
32,admin.,married,university.degree,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,93.918,-42.7,5228.1,0
50,blue-collar,married,basic.6y,,yes,no,telephone,nov,mon,3,999,0,nonexistent,93.2,-42.0,5195.8,0
27,admin.,single,high.school,no,no,no,cellular,jun,tue,2,999,0,nonexistent,94.055,-39.8,4991.6,1
36,admin.,single,university.degree,no,yes,no,cellular,jul,thu,8,999,0,nonexistent,93.918,-42.7,5228.1,0
25,services,single,high.school,no,no,no,cellular,aug,fri,1,999,0,nonexistent,92.201,-31.4,5076.2,0
37,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,2,999,0,nonexistent,94.465,-41.8,5228.1,0
30,admin.,single,high.school,no,no,no,cellular,aug,fri,1,999,0,nonexistent,93.444,-36.1,5228.1,0
29,technician,single,professional.course,no,yes,no,cellular,jul,tue,3,999,0,nonexistent,93.918,-42.7,5228.1,0
35,blue-collar,married,basic.6y,no,no,no,cellular,may,wed,2,999,1,failure,92.893,-46.2,5099.1,0
30,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,2,999,1,failure,93.2,-42.0,5195.8,0
47,blue-collar,married,basic.9y,no,yes,yes,cellular,apr,mon,1,999,0,nonexistent,93.075,-47.1,5099.1,0
46,admin.,divorced,high.school,no,,,cellular,jul,tue,1,999,0,nonexistent,92.469,-33.6,5076.2,1
45,blue-collar,divorced,high.school,,no,no,cellular,jul,thu,1,999,0,nonexistent,93.918,-42.7,5228.1,0
33,services,married,university.degree,no,,,telephone,may,thu,1,999,0,nonexistent,93.994,-36.4,5191.0,0
31,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,3,999,0,nonexistent,93.994,-36.4,5191.0,0
47,,married,,no,no,yes,cellular,aug,wed,5,999,0,nonexistent,93.444,-36.1,5228.1,0
54,technician,married,high.school,no,no,no,telephone,may,tue,12,999,0,nonexistent,93.994,-36.4,5191.0,0
33,self-employed,single,university.degree,no,no,no,telephone,aug,wed,4,999,0,nonexistent,93.444,-36.1,5228.1,0
39,housemaid,married,university.degree,no,no,no,telephone,may,mon,1,999,0,nonexistent,93.994,-36.4,5191.0,0
33,technician,married,university.degree,,yes,no,cellular,aug,mon,7,999,0,nonexistent,93.444,-36.1,5228.1,0
53,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,1,999,0,nonexistent,93.994,-36.4,5191.0,0
34,blue-collar,married,basic.9y,no,no,yes,telephone,may,mon,3,999,0,nonexistent,93.994,-36.4,5191.0,0
31,admin.,married,high.school,no,no,no,telephone,may,wed,3,999,0,nonexistent,93.994,-36.4,5191.0,0
49,admin.,single,university.degree,no,no,no,cellular,may,tue,1,999,1,failure,92.893,-46.2,5099.1,0
38,admin.,divorced,university.degree,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,93.918,-42.7,5228.1,0
43,admin.,divorced,basic.9y,no,,,telephone,may,tue,2,999,0,nonexistent,93.994,-36.4,5191.0,0
57,retired,married,high.school,no,no,no,cellular,jul,mon,2,999,0,nonexistent,93.918,-42.7,5228.1,0
25,admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,30,999,0,nonexistent,93.918,-42.7,5228.1,0
35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,93.2,-42.0,5195.8,0
44,blue-collar,married,basic.4y,no,,,cellular,apr,mon,1,999,1,failure,93.075,-47.1,5099.1,0
46,admin.,single,university.degree,,no,no,telephone,jun,tue,1,999,0,nonexistent,94.465,-41.8,5228.1,0
21,blue-collar,single,basic.9y,no,yes,no,cellular,may,mon,1,999,0,nonexistent,92.893,-46.2,5099.1,0
59,blue-collar,divorced,basic.4y,,yes,no,cellular,jul,mon,3,999,0,nonexistent,93.918,-42.7,5228.1,0
49,services,divorced,basic.6y,,no,no,telephone,jul,fri,4,999,0,nonexistent,93.918,-42.7,5228.1,0
54,management,married,university.degree,no,yes,no,cellular,apr,thu,1,999,0,nonexistent,93.075,-47.1,5099.1,0
41,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,5,999,0,nonexistent,93.444,-36.1,5228.1,1
57,admin.,married,university.degree,no,yes,no,telephone,may,thu,4,999,0,nonexistent,93.994,-36.4,5191.0,0
41,blue-collar,married,basic.9y,no,no,no,cellular,oct,mon,1,999,1,failure,92.431,-26.9,5017.5,0
33,admin.,married,professional.course,no,no,no,telephone,jun,fri,4,999,0,nonexistent,94.465,-41.8,5228.1,0
33,services,married,basic.6y,no,yes,yes,cellular,may,tue,4,999,1,failure,92.893,-46.2,5099.1,0
39,technician,single,high.school,,yes,no,cellular,aug,mon,6,999,0,nonexistent,93.444,-36.1,5228.1,0
32,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,tue,4,999,0,nonexistent,92.893,-46.2,5099.1,0
45,technician,married,professional.course,no,no,no,cellular,jul,wed,1,999,0,nonexistent,93.918,-42.7,5228.1,0
46,management,married,basic.9y,no,no,no,telephone,may,mon,2,999,0,nonexistent,93.994,-36.4,5191.0,0
34,blue-collar,married,basic.4y,no,no,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
36,admin.,single,high.school,no,no,no,cellular,may,thu,2,999,1,failure,92.893,-46.2,5099.1,0
27,admin.,single,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,93.918,-42.7,5228.1,0
34,admin.,married,university.degree,no,no,no,telephone,may,fri,2,999,0,nonexistent,93.994,-36.4,5191.0,0
30,self-employed,single,university.degree,no,,,cellular,aug,mon,2,999,0,nonexistent,94.027,-38.3,4991.6,0
45,management,married,,,yes,no,telephone,jun,wed,6,999,0,nonexistent,94.465,-41.8,5228.1,0
32,services,married,basic.4y,,no,no,cellular,jul,mon,4,999,0,nonexistent,93.918,-42.7,5228.1,1
35,admin.,single,university.degree,no,no,no,cellular,jul,fri,2,999,0,nonexistent,93.918,-42.7,5228.1,0
42,technician,married,basic.9y,no,no,no,cellular,nov,wed,2,999,0,nonexistent,93.2,-42.0,5195.8,0
23,unemployed,married,high.school,no,no,no,telephone,may,fri,1,999,0,nonexistent,93.876,-40.0,5008.7,0
52,admin.,single,high.school,,yes,no,cellular,jul,tue,3,999,0,nonexistent,93.918,-42.7,5228.1,0
28,blue-collar,married,basic.4y,no,no,yes,cellular,may,tue,1,999,0,nonexistent,92.893,-46.2,5099.1,0
39,admin.,married,high.school,no,yes,no,cellular,may,mon,2,999,0,nonexistent,92.893,-46.2,5099.1,0
55,technician,married,basic.9y,,yes,no,cellular,jul,mon,6,999,0,nonexistent,93.918,-42.7,5228.1,0
32,technician,divorced,high.school,no,yes,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
32,admin.,married,university.degree,no,yes,yes,cellular,may,thu,1,999,0,nonexistent,92.893,-46.2,5099.1,0
33,technician,married,university.degree,no,no,no,cellular,may,wed,3,999,0,nonexistent,92.893,-46.2,5099.1,1
59,blue-collar,married,basic.6y,no,yes,no,telephone,jun,tue,2,999,0,nonexistent,94.465,-41.8,5228.1,0
35,technician,divorced,professional.course,no,yes,no,cellular,apr,wed,1,999,1,failure,93.075,-47.1,5099.1,0
28,management,single,university.degree,no,no,no,telephone,may,wed,4,999,0,nonexistent,93.994,-36.4,5191.0,0
46,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,10,999,0,nonexistent,94.465,-41.8,5228.1,0
44,admin.,married,professional.course,no,yes,no,telephone,may,mon,1,999,0,nonexistent,93.994,-36.4,5191.0,0
32,self-employed,married,high.school,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,93.444,-36.1,5228.1,0
45,services,married,basic.9y,no,no,no,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
29,admin.,married,basic.6y,no,no,yes,telephone,may,wed,3,999,0,nonexistent,93.994,-36.4,5191.0,0
55,admin.,married,high.school,no,yes,no,telephone,may,wed,4,999,0,nonexistent,93.994,-36.4,5191.0,0
28,blue-collar,single,basic.9y,no,,,telephone,may,tue,1,999,0,nonexistent,93.994,-36.4,5191.0,0
35,technician,married,professional.course,no,no,no,telephone,may,fri,8,999,0,nonexistent,93.994,-36.4,5191.0,0
38,admin.,divorced,high.school,no,no,no,telephone,may,fri,1,999,0,nonexistent,93.994,-36.4,5191.0,0
59,retired,divorced,professional.course,no,yes,no,cellular,may,wed,3,999,0,nonexistent,92.893,-46.2,5099.1,0
56,blue-collar,divorced,basic.4y,no,yes,no,telephone,aug,mon,1,12,4,failure,94.027,-38.3,4991.6,0
40,management,married,university.degree,,no,no,cellular,apr,mon,7,999,0,nonexistent,93.075,-47.1,5099.1,0
46,entrepreneur,married,professional.course,no,yes,no,telephone,may,wed,2,999,0,nonexistent,93.994,-36.4,5191.0,0
30,technician,single,university.degree,,no,no,cellular,aug,thu,1,999,0,nonexistent,93.444,-36.1,5228.1,0
35,services,single,high.school,no,yes,yes,cellular,may,fri,1,999,0,nonexistent,92.893,-46.2,5099.1,0
37,blue-collar,married,basic.4y,no,no,no,telephone,may,wed,13,999,0,nonexistent,93.994,-36.4,5191.0,0
35,technician,married,university.degree,no,yes,no,cellular,aug,thu,10,999,0,nonexistent,93.444,-36.1,5228.1,0
38,student,divorced,,no,yes,no,cellular,may,tue,3,999,0,nonexistent,92.893,-46.2,5099.1,0
38,blue-collar,married,basic.4y,no,yes,no,cellular,may,thu,2,999,0,nonexistent,92.893,-46.2,5099.1,0
28,admin.,married,high.school,no,no,no,telephone,jun,fri,3,999,0,nonexistent,94.465,-41.8,5228.1,0
56,unemployed,divorced,university.degree,,yes,no,telephone,may,fri,1,999,0,nonexistent,93.994,-36.4,5191.0,0
39,blue-collar,married,basic.6y,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,93.918,-42.7,5228.1,0
